datetime,temperature,humidity,wind_speed,general_diffuse_flows,diffuse_flows,zone_1_power_consumption,zone_2_power_consumption,zone_3_power_consumption
2017-01-01 00:00:00,6.559,73.8,-2.488914671185539,-2.9759296462578115,4.574961669210762,34055.6962,16128.87538,20240.96386
2017-01-01 00:10:00,6.414,74.5,-2.488914671185539,-2.659260036932778,-2.4651040224918206,29814.68354,19375.07599,20131.08434
2017-01-01 00:20:00,6.313,74.5,-2.5257286443082556,-2.7806208939370456,-2.3025850929940455,29128.10127,19006.68693,19668.43373
2017-01-01 00:30:00,6.121,75.0,-2.488914671185539,-2.396895772465287,-2.3434070875143007,28228.86076,18361.09422,18899.27711
2017-01-01 00:40:00,5.921,75.7,-2.513306124309698,-3.036554268074246,-2.4651040224918206,27335.6962,17872.34043,18442.40964
2017-01-01 00:50:00,5.853,76.9,-2.513306124309698,-2.8302178350764176,-2.2256240518579173,26624.81013,17416.41337,18130.12048
2017-01-01 01:00:00,5.641,77.7,-2.5257286443082556,-3.036554268074246,-2.3434070875143007,25998.98734,16993.31307,17945.06024
2017-01-01 01:10:00,5.496,78.2,-2.4651040224918206,-2.900422093749666,-2.375155785828881,25446.07595,16661.39818,17459.27711
2017-01-01 01:20:00,5.678,78.1,-2.513306124309698,-2.7181005369557116,-1.9589953886039688,24777.72152,16227.35562,17025.54217
2017-01-01 01:30:00,5.491,77.3,-2.501036031717884,-2.7806208939370456,-2.198225077669803,24279.49367,15939.20973,16794.21687
2017-01-01 01:40:00,5.516,77.5,-2.513306124309698,-2.9759296462578115,-2.2256240518579173,23896.70886,15435.86626,16638.07229
2017-01-01 01:50:00,5.471,76.7,-2.488914671185539,-2.8302178350764176,-2.071473372030659,23544.3038,15213.37386,16395.18072
2017-01-01 02:00:00,5.059,78.6,-2.513306124309698,-2.659260036932778,-2.3434070875143007,23003.5443,15169.60486,16117.59036
2017-01-01 02:10:00,4.968,78.8,-2.4769384801388235,-2.659260036932778,-2.0099154790312257,22329.11392,14710.0304,15822.6506
2017-01-01 02:20:00,4.975,78.9,-2.488914671185539,-2.900422093749666,-1.8838747581358606,22092.1519,14421.8845,15672.28916
2017-01-01 02:30:00,4.897,79.1,-2.488914671185539,-2.659260036932778,-2.3434070875143007,21903.79747,14104.55927,15597.10843
2017-01-01 02:40:00,5.02,79.7,-2.513306124309698,-2.9759296462578115,-2.0099154790312257,21685.06329,13965.95745,15510.36145
2017-01-01 02:50:00,5.407,78.5,-2.501036031717884,-2.7806208939370456,-1.8140050781753747,21484.55696,13612.15805,15336.86747
2017-01-01 03:00:00,5.169,77.9,-2.488914671185539,-2.7181005369557116,-2.2256240518579173,21107.8481,13535.56231,15140.24096
2017-01-01 03:10:00,5.081,77.7,-2.4769384801388235,-2.9759296462578115,-2.0402208285265546,20998.48101,13371.42857,15059.27711
2017-01-01 03:20:00,5.041,77.2,-2.513306124309698,-2.7806208939370456,-1.8838747581358606,20870.88608,13196.35258,15013.01205
2017-01-01 03:30:00,5.034,76.9,-2.488914671185539,-2.9759296462578115,-1.6873994539038122,20870.88608,13167.17325,14897.3494
2017-01-01 03:40:00,4.896,76.6,-2.4651040224918206,-2.659260036932778,-1.987774353154012,43182.78387765841,13137.99392,14602.40964
2017-01-01 03:50:00,4.805,76.2,-2.513306124309698,-2.8302178350764176,-2.0099154790312257,20421.26582,12908.20669,14590.84337
2017-01-01 04:00:00,4.753,75.7,-2.488914671185539,-3.123565645063876,-2.0099154790312257,20524.55696,12820.66869,14585.06024
2017-01-01 04:10:00,4.901,74.4,-2.488914671185539,-2.659260036932778,-2.1037342342488805,20482.02532,13032.21884,14452.04819
2017-01-01 04:20:00,5.203,74.1,-2.4651040224918206,-2.7806208939370456,-2.3434070875143007,20530.63291,12926.44377,14232.28916
2017-01-01 04:30:00,5.394,71.9,-2.513306124309698,-2.617295837833746,-2.3025850929940455,20512.40506,25473.145524116535,14157.10843
2017-01-01 04:40:00,5.156,74.0,-2.5383074265151158,-2.7806208939370456,-1.9105430052180221,20494.17722,12922.79635,14232.28916
2017-01-01 04:50:00,5.179,74.2,-2.488914671185539,-3.2968373663379125,-1.987774353154012,20311.89873,12879.02736,14243.85542
2017-01-01 05:00:00,18.862320018687225,72.9,-2.501036031717884,-2.900422093749666,-2.0099154790312257,20542.78481,12806.07903,14243.85542
2017-01-01 05:10:00,4.718,75.8,-2.5257286443082556,-2.9759296462578115,-1.8838747581358606,20621.77215,12853.49544,14105.06024
2017-01-01 05:20:00,5.546,74.0,-2.501036031717884,-2.900422093749666,-2.375155785828881,20627.8481,12842.55319,14266.98795
2017-01-01 05:30:00,4.658,73.5,-2.5257286443082556,-3.123565645063876,-2.2633643798407643,20797.97468,13137.99392,14353.73494
2017-01-01 05:40:00,4.382,76.9,-2.513306124309698,-2.617295837833746,-1.9105430052180221,20858.73418,13203.64742,14538.79518
2017-01-01 05:50:00,4.212,78.3,-2.513306124309698,-2.145581344184381,-2.501036031717884,21393.41772,13575.68389,14862.6506
2017-01-01 06:00:00,4.308,77.2,-2.513306124309698,-2.7806208939370456,-2.071473372030659,22219.74684,14068.08511,14908.91566
2017-01-01 06:10:00,4.735,74.3,-2.5257286443082556,-3.2188758248682006,-1.8578992717326,21928.10127,13852.88754,14729.63855
2017-01-01 06:20:00,4.769,75.6,-2.501036031717884,-2.312635428847547,-2.7646205525906042,21776.20253,13626.74772,14625.54217
2017-01-01 06:30:00,4.92,73.7,-2.488914671185539,-2.312635428847547,-2.3434070875143007,21654.68354,13582.97872,14480.96386
2017-01-01 06:40:00,4.408,76.7,-2.501036031717884,-3.2968373663379125,-2.1286317858706076,21466.32911,13539.20973,14319.03614
2017-01-01 06:50:00,4.29,77.0,-2.4651040224918206,-3.4112477175156566,-1.6450650900772514,20846.58228,12908.20669,14018.31325
2017-01-01 07:00:00,4.304,76.0,-2.501036031717884,-3.036554268074246,-1.8838747581358606,19983.79747,12342.85714,13492.04819
2017-01-01 07:10:00,4.513,74.6,0.8860553634414573,-2.900422093749666,-2.0099154790312257,18908.35443,11897.87234,12630.36145
2017-01-01 07:20:00,4.489,74.3,-2.501036031717884,-2.513306124309698,-2.1286317858706076,18167.08861,25440.93721179274,11600.96386
2017-01-01 07:30:00,4.356,72.3,-2.501036031717884,-2.659260036932778,-2.1286317858706076,18075.94937,11263.22188,10640.96386
2017-01-01 07:40:00,4.478,72.2,-2.488914671185539,-2.617295837833746,-2.419118909249997,18063.79747,10719.75684,10455.90361
2017-01-01 07:50:00,4.583,71.0,-2.488914671185539,-2.7181005369557116,-2.2633643798407643,18045.56962,10924.01216,10496.38554
2017-01-01 08:00:00,4.794,72.0,-2.4769384801388235,-1.6766466621275504,-1.9310215365615626,18385.82278,10949.54407,10710.36145
2017-01-01 08:10:00,4.807,73.1,-2.501036031717884,-0.046043938501406846,-0.052346480372209236,18987.34177,11347.11246,10837.59036
2017-01-01 08:20:00,4.757,73.5,-2.488914671185539,1.1593937609279688,1.142310143933829,19576.70886,11733.7386,10941.68675
2017-01-01 08:30:00,4.509,74.5,-2.4769384801388235,1.893563668683104,1.8708786736806542,20488.97468,11945.28875,11178.79518
2017-01-01 08:40:00,4.346,74.8,-2.501036031717884,2.5368663887187113,2.315501318260592,20166.07595,25419.60447873624,11514.21687
2017-01-01 08:50:00,4.718,73.7,-2.513306124309698,4.924524569616252,2.833213344056216,20676.4557,12426.74772,11959.51807
2017-01-01 09:00:00,4.704,71.8,-2.488914671185539,4.412798293340635,3.0032042883926917,21296.20253,12871.73252,12283.37349
2017-01-01 09:10:00,4.624,74.1,-2.501036031717884,4.671893818030999,3.1157350659486873,22043.5443,13203.64742,12427.95181
2017-01-01 09:20:00,4.629,74.8,-2.488914671185539,4.883559211528279,3.190476350346503,22651.13924,13542.85714,12826.98795
2017-01-01 09:30:00,4.599,74.0,-2.501036031717884,5.050496827521386,3.292126286607793,43075.96013034868,14046.20061,13121.92771
2017-01-01 09:40:00,4.524,74.7,-2.513306124309698,5.206202077640231,3.338967305126021,23641.51899,14392.70517,13648.19277
2017-01-01 09:50:00,4.575,74.5,-2.501036031717884,5.341376856008484,3.374168709274236,24668.35443,14830.39514,13850.60241
2017-01-01 10:00:00,5.124,73.7,-2.577021938695806,5.458734087953942,3.3751955791231545,25275.94937,15238.90578,14162.89157
2017-01-01 10:10:00,5.836,71.3,0.9783261227936078,5.552571912887299,3.4343097331123578,25920.0,15837.08207,14428.91566
2017-01-01 10:20:00,5.996,69.85,1.5953389880545987,5.644386264699545,3.464485120898074,26393.92405,16059.57447,14671.80723
2017-01-01 10:30:00,19.031936022253127,68.81,1.5941212083222072,5.726847747587197,3.4787755163075302,26861.77215,16322.18845,15036.14458
